0,1,S2801_C02_011E,county,S2801_C02_012E,state,S2501_C02_001E,S1901_C01_001E,S1501_C02_015E,S2301_C03_001E,S0101_C01_001E,cluster
0.66816247,-0.14227203,17.1,89,72.4,8,7490,7490,17.7,49.3,18325,-1
-8.047238,-8.89415,3.9,14,91.5,8,25938,25938,53.4,69.2,64283,-1
-6.4205256,-8.196328,7.7,91,83.0,8,2204,2204,49.4,57.1,4653,-1
3.5015905,-6.3710694,15.5,103,73.1,8,2417,2417,20.9,59.6,6557,-1
4.351438,0.7062756,20.2,115,66.9,8,998,998,20.8,52.3,2357,-1
-5.9419246,-4.1606755,9.3,123,81.7,8,99817,99817,27.0,64.3,285729,-1
5.1559706,6.418066,30.9,21,62.9,8,2992,2992,19.2,47.0,8147,-1
-2.5969741,-1.6726608,10.9,27,76.7,8,2093,2093,33.3,35.9,4505,-1
2.9105284,10.866162,38.1,23,53.4,8,1568,1568,20.9,40.9,3628,0
-8.106414,-2.1381574,8.8,1,80.4,8,162508,162508,23.1,67.2,487850,-1
-9.239385,-7.0764904,2.2,35,95.0,8,113799,113799,58.0,70.2,320940,-1
-6.6240706,-9.505671,4.6,37,87.7,8,17765,17765,45.1,78.0,53726,-1
-1.1048334,-9.491817,13.0,65,77.4,8,3324,3324,31.2,65.5,7481,1
-5.09884,-8.721918,10.2,67,78.3,8,21818,21818,43.1,64.5,54469,-1
3.3301945,-7.581797,14.0,81,76.6,8,5103,5103,17.2,63.1,13056,1
-8.002975,-8.999758,5.3,97,89.7,8,7340,7340,61.2,74.8,17747,-1
6.3517313,1.5284723,25.4,105,64.2,8,4750,4750,23.7,51.5,11430,-1
2.4591875,-7.384783,16.8,17,76.8,8,776,776,21.9,61.3,2127,1
-1.435283,6.056129,20.1,11,72.0,8,1760,1760,10.3,27.4,5806,-1
-2.3270009,2.051768,15.3,25,77.5,8,1215,1215,8.1,35.8,5514,-1
6.5231543,-2.392821,19.4,33,67.2,8,707,707,19.8,57.7,1736,-1
-2.2726734,-9.004995,11.4,111,81.6,8,255,255,29.8,62.1,569,1
6.0385633,-6.951772,16.9,57,71.5,8,597,597,16.5,64.4,1372,1
-8.857879,-5.157141,5.4,69,87.3,8,130502,130502,45.9,63.6,330976,1
2.2550323,-5.7187037,15.9,75,78.2,8,8151,8151,19.0,58.5,21885,-1
0.6067788,-4.174909,15.7,83,69.0,8,10520,10520,28.0,54.8,25770,-1
-7.331756,-9.551008,5.9,113,80.3,8,3301,3301,54.1,73.0,7804,-1
-3.9925008,-8.403514,6.7,119,87.6,8,10076,10076,34.1,58.4,23769,-1
-9.193543,-6.6712556,4.7,13,89.0,8,125026,125026,60.4,65.4,316782,-1
-4.7030196,-9.486008,5.4,39,88.5,8,8866,8866,35.0,66.3,24553,1
0.77148044,-8.277211,10.8,95,79.0,8,1696,1696,21.6,62.9,4327,1
-3.5453203,-6.4904504,10.5,7,80.5,8,5553,5553,37.0,53.7,12592,-1
-10.297217,-0.8282869,9.8,31,81.7,8,287262,287262,46.5,67.8,678467,1
2.5159788,-6.8724384,16.5,61,77.1,8,576,576,21.0,60.4,1368,1
1.1251332,4.300385,22.9,55,63.5,8,3173,3173,23.6,43.6,6498,-1
5.232631,-2.8982263,18.9,9,69.4,8,1603,1603,21.4,56.2,3581,-1
-3.2096233,-6.34076,11.1,15,81.2,8,7900,7900,32.4,51.5,18818,-1
-4.154116,-9.758868,7.1,47,81.5,8,2603,2603,36.6,70.6,5793,1
3.950289,-4.6779604,17.5,63,73.6,8,2995,2995,15.8,58.3,7846,1
-3.0942926,-9.50577,7.5,45,83.8,8,21055,21055,30.2,68.2,57945,1
-6.9467096,-9.409817,8.3,51,81.3,8,6495,6495,53.7,68.9,16215,-1
-10.309511,-2.3220181,6.5,59,87.6,8,227805,227805,43.1,66.2,564029,1
-3.518839,-5.9610705,10.9,79,79.5,8,404,404,39.3,49.9,834,-1
-9.108265,0.74736804,14.3,9,79.4,9,327402,327402,34.6,60.2,862127,1
